YearMonth,country,ModelFamily,XGBoost_Forecast,RandomForest_Forecast
202312,California,OPPO A12,5875,5479
202312,Texas,OPPO A12,241,225
202312,California,OPPO A15,8157,8415
202312,California,OPPO A15,6798,7449
202312,California,OPPO A16,1502,1548
202312,California,OPPO A16,910,1113
202312,Texas,OPPO A16,1309,1590
202312,Texas,OPPO A16,4,84
202312,Texas,OPPO A16,206,233
202312,Texas,OPPO A16,1758,2133
202312,Texas,OPPO A3S,242,301
202312,California,OPPO A3S,3030,2563
202312,California,OPPO A3S,2683,2410
202312,California,OPPO A5 2020,280,357
202312,Nevada,OPPO A5,112,128
202312,California,OPPO A5 2020,205,286
202312,California,OPPO A92,2506,1866
202312,Texas,OPPO A92,974,485
202312,California,OPPO A93,5770,5466
202312,Texas,OPPO A93,693,506
202312,California,OPPO A93,4263,3624
202312,Texas,OPPO A93,718,564
202312,Texas,OPPO A94,111,207
202312,Texas,OPPO A94,146,229
202312,Texas,OPPO A94,18,175
202312,Texas,SAMSUNG GALAXY A10,197,134
202312,Texas,SAMSUNG GALAXY A10,1313,1208
202312,Texas,SAMSUNG GALAXY A10,681,660
202312,Nevada,SAMSUNG GALAXY S10 PLUS,449,354
202312,Nevada,SAMSUNG GALAXY S10 PLUS,419,334
202312,Nevada,SAMSUNG GALAXY S10 PLUS,343,411
202312,California,SAMSUNG GALAXY S10,237,298
202312,Nevada,SAMSUNG GALAXY S10,155,202
202312,California,SAMSUNG GALAXY S20 PLUS,282,331
202312,Nevada,SAMSUNG GALAXY S20 PLUS,241,346
202312,Texas,SAMSUNG GALAXY S20 PLUS,168,235
202312,Nevada,SAMSUNG GALAXY S20 PLUS,472,636
202312,Texas,SAMSUNG GALAXY S20 PLUS,130,229
202312,California,SAMSUNG GALAXY S20 PLUS,532,454
202312,Nevada,SAMSUNG GALAXY S20 PLUS,363,429
202312,Texas,SAMSUNG GALAXY S20 PLUS,225,221
202312,California,SAMSUNG GALAXY S20 ULTRA,188,304
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,272,314
202312,Texas,SAMSUNG GALAXY S20 ULTRA,256,305
202312,California,SAMSUNG GALAXY S20 ULTRA,250,258
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,240,521
