YearMonth,country,ModelFamily,Predicted Closing Subs Monthly
202312,California,OPPO A12,90.09
202312,Texas,OPPO A12,46.22
202312,California,OPPO A15,114.09
202312,California,OPPO A15,123.0
202312,California,OPPO A16,279.42
202312,California,OPPO A16,301.8
202312,Texas,OPPO A16,243.67
202312,Texas,OPPO A16,243.67
202312,Texas,OPPO A16,237.61
202312,Texas,OPPO A16,237.61
202312,Texas,OPPO A3S,60.84
202312,California,OPPO A3S,98.32
202312,California,OPPO A3S,114.13
202312,California,OPPO A5 2020,244.91
202312,Nevada,OPPO A5,144.96
202312,California,OPPO A5 2020,229.85
202312,California,OPPO A92,304.87
202312,Texas,OPPO A92,301.83
202312,California,OPPO A93,397.67
202312,Texas,OPPO A93,366.45
202312,California,OPPO A93,387.82
202312,Texas,OPPO A93,372.43
202312,Texas,OPPO A94,130.91
202312,Texas,OPPO A94,133.59
202312,Texas,OPPO A94,86.98
202312,Texas,SAMSUNG GALAXY A10,70.67
202312,Texas,SAMSUNG GALAXY A10,63.73
202312,Texas,SAMSUNG GALAXY A10,68.01
202312,Nevada,SAMSUNG GALAXY S10 PLUS,175.67
202312,Nevada,SAMSUNG GALAXY S10 PLUS,187.64
202312,Nevada,SAMSUNG GALAXY S10 PLUS,171.91
202312,California,SAMSUNG GALAXY S10,135.5
202312,Nevada,SAMSUNG GALAXY S10,168.8
202312,California,SAMSUNG GALAXY S20 PLUS,135.12
202312,Nevada,SAMSUNG GALAXY S20 PLUS,124.77
202312,Texas,SAMSUNG GALAXY S20 PLUS,94.14
202312,Nevada,SAMSUNG GALAXY S20 PLUS,82.75
202312,Texas,SAMSUNG GALAXY S20 PLUS,86.29
202312,California,SAMSUNG GALAXY S20 PLUS,139.43
202312,Nevada,SAMSUNG GALAXY S20 PLUS,129.35
202312,Texas,SAMSUNG GALAXY S20 PLUS,99.28
202312,California,SAMSUNG GALAXY S20 ULTRA,72.1
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,68.76
202312,Texas,SAMSUNG GALAXY S20 ULTRA,138.78
202312,California,SAMSUNG GALAXY S20 ULTRA,74.69
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,71.36
202312,Texas,SAMSUNG GALAXY S20 ULTRA,145.3
202312,California,SAMSUNG GALAXY S21 PLUS,238.41
202312,Nevada,SAMSUNG GALAXY S21 PLUS,234.95
202312,Texas,SAMSUNG GALAXY S21 PLUS,213.99
202312,California,SAMSUNG GALAXY S21 PLUS,192.7
202312,Nevada,SAMSUNG GALAXY S21 PLUS,198.53
202312,Texas,SAMSUNG GALAXY S21 PLUS,182.28
202312,California,SAMSUNG GALAXY S21 ULTRA,257.67
202312,Nevada,SAMSUNG GALAXY S21 ULTRA,252.2
202312,Texas,SAMSUNG GALAXY S21 ULTRA,250.28
202312,California,SAMSUNG GALAXY S21 ULTRA,242.41
202312,Nevada,SAMSUNG GALAXY S21 ULTRA,231.11
202312,Texas,SAMSUNG GALAXY S21 ULTRA,231.84
202312,California,SAMSUNG GALAXY S22 ULTRA,686.68
202312,Nevada,SAMSUNG GALAXY S22 ULTRA,673.86
