YearMonth,country,ModelFamily,Predicted Closing Subs Monthly
202312,California,OPPO A12,-43.70419
202312,Texas,OPPO A12,129.4547
202312,California,OPPO A15,68.05089
202312,California,OPPO A15,-71.58469
202312,California,OPPO A16,319.59073
202312,California,OPPO A16,342.31863
202312,Texas,OPPO A16,362.25198
202312,Texas,OPPO A16,362.25198
202312,Texas,OPPO A16,353.4665
202312,Texas,OPPO A16,353.4665
202312,Texas,OPPO A3S,-113.06199
202312,California,OPPO A3S,228.91753
202312,California,OPPO A3S,401.8878
202312,California,OPPO A5 2020,175.64648
202312,Nevada,OPPO A5,-70.16117
202312,California,OPPO A5 2020,31.337755
202312,California,OPPO A92,278.49176
202312,Texas,OPPO A92,235.07167
202312,California,OPPO A93,358.76688
202312,Texas,OPPO A93,726.6992
202312,California,OPPO A93,73.15409
202312,Texas,OPPO A93,787.09894
202312,Texas,OPPO A94,129.05112
202312,Texas,OPPO A94,119.76277
202312,Texas,OPPO A94,77.764366
202312,Texas,SAMSUNG GALAXY A10,163.77248
202312,Texas,SAMSUNG GALAXY A10,136.10458
202312,Texas,SAMSUNG GALAXY A10,145.53249
202312,Nevada,SAMSUNG GALAXY S10 PLUS,157.41634
202312,Nevada,SAMSUNG GALAXY S10 PLUS,190.18768
202312,Nevada,SAMSUNG GALAXY S10 PLUS,77.34577
202312,California,SAMSUNG GALAXY S10,142.05878
202312,Nevada,SAMSUNG GALAXY S10,25.495527
202312,California,SAMSUNG GALAXY S20 PLUS,150.47264
202312,Nevada,SAMSUNG GALAXY S20 PLUS,35.50166
202312,Texas,SAMSUNG GALAXY S20 PLUS,41.137283
202312,Nevada,SAMSUNG GALAXY S20 PLUS,31.04305
202312,Texas,SAMSUNG GALAXY S20 PLUS,13.4693775
202312,California,SAMSUNG GALAXY S20 PLUS,102.173256
202312,Nevada,SAMSUNG GALAXY S20 PLUS,15.511516
202312,Texas,SAMSUNG GALAXY S20 PLUS,79.95576
202312,California,SAMSUNG GALAXY S20 ULTRA,104.24243
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,12.437117
202312,Texas,SAMSUNG GALAXY S20 ULTRA,95.9144
202312,California,SAMSUNG GALAXY S20 ULTRA,48.147972
202312,Nevada,SAMSUNG GALAXY S20 ULTRA,-17.968111
202312,Texas,SAMSUNG GALAXY S20 ULTRA,126.93779
202312,California,SAMSUNG GALAXY S21 PLUS,145.38347
202312,Nevada,SAMSUNG GALAXY S21 PLUS,163.53827
202312,Texas,SAMSUNG GALAXY S21 PLUS,198.92746
202312,California,SAMSUNG GALAXY S21 PLUS,129.13731
202312,Nevada,SAMSUNG GALAXY S21 PLUS,169.04623
202312,Texas,SAMSUNG GALAXY S21 PLUS,182.68132
202312,California,SAMSUNG GALAXY S21 ULTRA,177.2594
202312,Nevada,SAMSUNG GALAXY S21 ULTRA,191.896
202312,Texas,SAMSUNG GALAXY S21 ULTRA,295.16443
202312,California,SAMSUNG GALAXY S21 ULTRA,123.06861
202312,Nevada,SAMSUNG GALAXY S21 ULTRA,69.72853
202312,Texas,SAMSUNG GALAXY S21 ULTRA,172.99684
202312,California,SAMSUNG GALAXY S22 ULTRA,610.8372
202312,Nevada,SAMSUNG GALAXY S22 ULTRA,694.3887
202312,Texas,SAMSUNG GALAXY S22 ULTRA,437.2036
202312,Nevada,SAMSUNG GALAXY S22 ULTRA,810.1712
202312,Texas,SAMSUNG GALAXY S22 ULTRA,610.3624
202312,California,SAMSUNG GALAXY S22 ULTRA,573.5971
202312,Nevada,SAMSUNG GALAXY S22 ULTRA,657.1487
202312,Texas,SAMSUNG GALAXY S22 ULTRA,441.32294
202312,California,APPLE IPHONE 11,274.39044
202312,Nevada,APPLE IPHONE 11,147.15862
202312,Texas,APPLE IPHONE 11,14.690975
202312,California,APPLE IPHONE 11,286.4045
202312,Nevada,APPLE IPHONE 11,159.17268
202312,Texas,APPLE IPHONE 11,88.2184
202312,California,APPLE IPHONE 11,258.7152
202312,Nevada,APPLE IPHONE 11,153.2375
202312,Texas,APPLE IPHONE 11,-0.98427033
202312,California,APPLE IPHONE 11,336.82614
202312,Nevada,APPLE IPHONE 11,209.59433
202312,Texas,APPLE IPHONE 11,49.60916
202312,California,APPLE IPHONE 11,218.48509
202312,Nevada,APPLE IPHONE 11,107.11785
202312,Texas,APPLE IPHONE 11,-41.214355
202312,California,APPLE IPHONE 11,282.3071
202312,Nevada,APPLE IPHONE 11,119.84852
202312,Texas,APPLE IPHONE 11,17.663084
202312,California,APPLE IPHONE 11,254.5141
202312,Nevada,APPLE IPHONE 11,97.23197
202312,Texas,APPLE IPHONE 11,-10.1298895
202312,California,APPLE IPHONE 11 PRO MAX,436.37018
202312,Nevada,APPLE IPHONE 11 PRO MAX,464.78418
202312,Texas,APPLE IPHONE 11 PRO MAX,274.55136
202312,California,APPLE IPHONE 11 PRO MAX,720.78033
202312,Nevada,APPLE IPHONE 11 PRO MAX,723.9734
202312,Texas,APPLE IPHONE 11 PRO MAX,558.9611
202312,California,APPLE IPHONE 11 PRO MAX,375.51666
202312,Nevada,APPLE IPHONE 11 PRO MAX,444.50073
202312,Texas,APPLE IPHONE 11 PRO MAX,372.96582
202312,California,APPLE IPHONE 11 PRO MAX,282.71014
202312,Nevada,APPLE IPHONE 11 PRO MAX,120.251564
202312,Texas,APPLE IPHONE 11 PRO MAX,115.21782
202312,California,APPLE IPHONE 11 PRO,254.93329
202312,Nevada,APPLE IPHONE 11 PRO,218.78467
202312,Texas,APPLE IPHONE 11 PRO,93.11443
202312,California,APPLE IPHONE 11 PRO,567.8443
202312,Nevada,APPLE IPHONE 11 PRO,626.6268
202312,Texas,APPLE IPHONE 11 PRO,406.02536
202312,California,APPLE IPHONE 11 PRO,248.45607
202312,Nevada,APPLE IPHONE 11 PRO,252.8776
202312,Texas,APPLE IPHONE 11 PRO,153.4347
202312,California,APPLE IPHONE 12,323.39398
202312,Nevada,APPLE IPHONE 12,250.0166
202312,Texas,APPLE IPHONE 12,338.0263
202312,California,APPLE IPHONE 12,286.43854
202312,Nevada,APPLE IPHONE 12,208.08344
202312,Texas,APPLE IPHONE 12,310.3585
202312,California,APPLE IPHONE 12 PRO MAX,41.001225
202312,Nevada,APPLE IPHONE 12 PRO MAX,-53.733753
202312,Texas,APPLE IPHONE 12 PRO MAX,573.88043
202312,California,APPLE IPHONE 12 PRO MAX,199.71378
202312,Nevada,APPLE IPHONE 12 PRO MAX,72.48195
202312,Texas,APPLE IPHONE 12 PRO MAX,472.9327
202312,California,APPLE IPHONE 12 PRO MAX,170.62851
202312,Nevada,APPLE IPHONE 12 PRO MAX,83.96676
202312,Texas,APPLE IPHONE 12 PRO MAX,368.94232
202312,California,APPLE IPHONE 12 PRO MAX,178.02069
202312,Nevada,APPLE IPHONE 12 PRO MAX,137.91594
202312,Texas,APPLE IPHONE 12 PRO MAX,797.0434
202312,California,APPLE IPHONE 12 PRO MAX,406.32156
202312,Nevada,APPLE IPHONE 12 PRO MAX,283.04776
202312,Texas,APPLE IPHONE 12 PRO MAX,751.11523
202312,California,APPLE IPHONE 12 PRO MAX,420.50317
202312,Nevada,APPLE IPHONE 12 PRO MAX,337.79947
202312,Texas,APPLE IPHONE 12 PRO MAX,704.9601
202312,California,APPLE IPHONE 12 PRO,354.54614
202312,Nevada,APPLE IPHONE 12 PRO,342.6414
202312,Texas,APPLE IPHONE 12 PRO,582.5374
202312,California,APPLE IPHONE 12 PRO,240.01976
202312,Nevada,APPLE IPHONE 12 PRO,264.17908
202312,Texas,APPLE IPHONE 12 PRO,545.8413
